original_index,max_H_run_length,gene_name
11,1.3333333333333333,AAU26120.1 hypothetical protein lpg0012 [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
12,1.3333333333333333,AAU26121.1 pirin-like protein [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
13,1.4166666666666667,AAU26122.1 transmembrane protein [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
14,1.4166666666666667,AAU26123.1 multidrug resistance protein [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
15,1.4166666666666667,AAU26124.1 hypothetical protein lpg0016 [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
16,1.3333333333333333,AAU26125.1 hypothetical protein lpg0017 [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
17,1.25,AAU26126.1 outer membrane efflux protein [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
18,1.25,"AAU26127.1 hemagglutinin/protease, zinc metalloprotease [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]"
19,1.25,AAU26128.1 integral membrane protein [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
20,1.25,AAU26129.1 alpha helix protein [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
21,1.25,AAU26130.1 hypothetical protein lpg0022 [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
22,1.25,AAU26131.1 transmembrane protein [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
23,1.25,AAU26132.1 hemin binding protein Hbp [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
24,1.25,AAU26133.1 Rcp [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
25,1.1666666666666667,AAU26134.1 amino acid permease [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
26,1.1666666666666667,AAU26135.1 low affinity inorganic phosphate transporter [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
27,1.1666666666666667,AAU26136.1 ubiquinone biosynthesis protein COQ7 [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
28,1.25,AAU26137.1 sensory box (GGDEF/EAL domain) regulatory protein [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
29,1.4166666666666667,AAU26138.1 hypothetical protein lpg0030 [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
30,1.4166666666666667,AAU26139.1 hypothetical protein lpg0031 [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
31,1.4166666666666667,AAU26140.1 leucine aminopeptidase [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
32,1.5,AAU26141.1 hypothetical protein lpg0033 [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
33,1.4166666666666667,AAU26142.1 hypothetical protein lpg0034 [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
