original_index,max_H_run_length,gene_name
11,2.0,AAU26120.1 hypothetical protein lpg0012 [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
12,2.0,AAU26121.1 pirin-like protein [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
13,2.0,AAU26122.1 transmembrane protein [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
14,2.0,AAU26123.1 multidrug resistance protein [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
15,2.0,AAU26124.1 hypothetical protein lpg0016 [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
16,2.0,AAU26125.1 hypothetical protein lpg0017 [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
17,2.0,AAU26126.1 outer membrane efflux protein [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
18,2.0,"AAU26127.1 hemagglutinin/protease, zinc metalloprotease [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]"
19,2.0,AAU26128.1 integral membrane protein [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
20,2.0,AAU26129.1 alpha helix protein [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
21,2.0,AAU26130.1 hypothetical protein lpg0022 [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
22,2.0,AAU26131.1 transmembrane protein [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
23,2.0,AAU26132.1 hemin binding protein Hbp [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
24,2.0,AAU26133.1 Rcp [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
25,2.0,AAU26134.1 amino acid permease [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
26,2.0,AAU26135.1 low affinity inorganic phosphate transporter [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
27,2.0,AAU26136.1 ubiquinone biosynthesis protein COQ7 [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
28,2.0,AAU26137.1 sensory box (GGDEF/EAL domain) regulatory protein [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
29,3.0,AAU26138.1 hypothetical protein lpg0030 [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
30,3.0,AAU26139.1 hypothetical protein lpg0031 [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
31,3.0,AAU26140.1 leucine aminopeptidase [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
32,3.0,AAU26141.1 hypothetical protein lpg0033 [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
33,3.0,AAU26142.1 hypothetical protein lpg0034 [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
34,3.0,AAU26143.1 hypothetical protein lpg0035 [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
35,3.0,AAU26144.1 hypothetical protein lpg0036 [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
36,3.0,AAU26145.1 arginine 3rd transport system periplasmic binding protein [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
37,3.0,AAU26146.1 ankyrin repeat-containing protein [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
38,3.0,AAU26147.1 hypothetical protein lpg0039 [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
39,3.0,AAU26148.1 integral membrane protein [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
40,3.0,AAU26149.1 hypothetical protein lpg0041 [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
41,2.0,AAU26150.1 hypothetical protein lpg0042 [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
42,2.0,AAU26151.1 hypothetical protein lpg0043 [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
43,2.0,AAU26152.1 hypothetical protein lpg0044 [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
44,2.0,AAU26153.1 hypothetical protein lpg0045 [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
45,2.0,AAU26154.1 hypothetical protein lpg0046 [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
46,2.0,AAU26155.1 chloramphenicol acetyltransferase [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
47,2.0,AAU26156.1 acetyltransferase [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
